iter	Passed	Remaining
588	2357	1645
589	2361	1641
590	2365	1637
591	2369	1633
592	2373	1629
593	2377	1625
594	2381	1620
595	2385	1616
596	2389	1613
597	2393	1609
598	2397	1605
599	2401	1600
600	2405	1597
601	2409	1592
602	2413	1588
603	2417	1584
604	2421	1580
605	2425	1576
606	2429	1572
607	2433	1568
608	2437	1564
609	2441	1560
610	2445	1557
611	2449	1552
612	2453	1548
613	2456	1544
614	2461	1540
615	2464	1536
616	2468	1532
617	2472	1528
618	2476	1524
619	2480	1520
620	2484	1516
621	2488	1512
622	2491	1507
623	2496	1504
624	2500	1500
625	2503	1495
626	2507	1491
627	2511	1487
628	2515	1483
629	2519	1479
630	2523	1475
631	2527	1471
632	2530	1467
633	2534	1463
634	2538	1459
635	2542	1455
636	2546	1451
637	2550	1447
638	2554	1442
639	2558	1438
640	2561	1434
641	2565	1430
642	2569	1426
643	2573	1422
644	2577	1418
645	2581	1414
646	2584	1410
647	2588	1405
648	2592	1401
649	2596	1397
650	2600	1394
651	2604	1390
652	2608	1386
653	2612	1381
654	2616	1377
655	2619	1373
656	2623	1369
657	2627	1365
658	2631	1361
659	2634	1357
660	2638	1353
661	2642	1349
662	2646	1345
663	2649	1340
664	2653	1336
665	2658	1333
666	2662	1329
667	2666	1325
668	2670	1321
669	2673	1317
670	2677	1312
671	2681	1308
672	2684	1304
673	2688	1300
674	2692	1296
675	2696	1292
676	2699	1288
677	2704	1284
678	2707	1280
679	2711	1276
680	2715	1271
681	2719	1268
682	2723	1263
683	2727	1260
684	2731	1256
685	2735	1252
686	2739	1247
687	2743	1243
688	2746	1239
689	2751	1236
690	2755	1232
691	2760	1228
692	2763	1224
693	2767	1220
694	2771	1216
695	2775	1212
696	2778	1207
697	2782	1203
698	2786	1200
699	2790	1196
700	2794	1192
701	2798	1188
702	2802	1183
703	2806	1179
704	2810	1175
705	2813	1171
706	2817	1167
707	2821	1163
708	2824	1159
709	2828	1155
710	2832	1151
711	2836	1147
712	2840	1143
713	2844	1139
714	2848	1135
715	2852	1131
716	2856	1127
717	2860	1123
718	2863	1119
719	2867	1115
720	2871	1111
721	2875	1107
722	2879	1103
723	2882	1099
724	2886	1094
725	2890	1090
726	2893	1086
727	2898	1082
728	2901	1078
729	2905	1074
730	2909	1070
731	2913	1066
732	2917	1062
733	2922	1058
734	2925	1054
735	2929	1050
736	2933	1046
737	2937	1042
738	2941	1038
739	2945	1034
740	2948	1030
741	2953	1026
742	2957	1023
743	2962	1019
744	2966	1015
745	2970	1011
746	2974	1007
747	2979	1003
748	2982	999
749	2986	995
750	2990	991
751	2994	987
752	2998	983
753	3002	979
754	3006	975
755	3010	971
756	3014	967
757	3018	963
758	3021	959
759	3025	955
760	3029	951
761	3033	947
762	3036	943
763	3040	939
764	3044	935
765	3048	931
766	3052	927
767	3056	923
768	3061	919
769	3065	915
770	3069	911
771	3074	907
772	3077	903
773	3081	899
774	3085	895
775	3089	891
776	3093	887
777	3096	883
778	3100	879
779	3104	875
780	3109	871
781	3112	867
782	3117	863
783	3120	859
784	3125	855
785	3128	851
786	3133	847
787	3136	843
788	3141	840
789	3144	835
790	3148	832
791	3152	828
792	3157	824
793	3160	820
794	3165	816
795	3168	812
796	3173	808
797	3177	804
798	3181	800
799	3185	796
800	3189	792
801	3193	788
802	3197	784
803	3201	780
804	3205	776
805	3209	772
806	3213	768
807	3217	764
808	3221	760
809	3225	756
810	3229	752
811	3232	748
812	3237	744
813	3240	740
814	3245	736
815	3249	732
816	3253	728
817	3257	724
818	3261	720
819	3265	716
820	3269	712
821	3272	708
822	3276	704
823	3280	700
824	3283	696
825	3288	692
826	3291	688
827	3296	684
828	3300	680
829	3304	676
830	3308	672
831	3312	668
832	3316	664
833	3320	660
834	3324	656
835	3328	652
836	3331	648
837	3335	644
838	3339	640
839	3343	636
840	3347	632
841	3352	629
842	3355	624
843	3359	621
844	3363	617
845	3367	613
846	3371	609
847	3375	605
848	3379	601
849	3383	597
850	3387	593
851	3391	589
852	3395	585
853	3399	581
854	3403	577
855	3407	573
856	3411	569
857	3415	565
858	3419	561
859	3423	557
860	3427	553
861	3431	549
862	3435	545
863	3439	541
864	3443	537
865	3447	533
866	3451	529
867	3455	525
868	3459	521
869	3463	517
870	3467	513
871	3471	509
872	3475	505
873	3479	501
874	3482	497
875	3486	493
876	3490	489
877	3493	485
878	3497	481
879	3501	477
880	3505	473
881	3509	469
882	3513	465
883	3517	461
884	3521	457
885	3525	453
886	3529	449
887	3533	445
888	3537	441
889	3540	437
890	3544	433
891	3548	429
892	3553	425
893	3556	421
894	3560	417
895	3564	413
896	3568	409
897	3572	405
898	3577	401
899	3581	397
900	3584	393
901	3588	389
902	3592	385
903	3596	381
904	3600	377
905	3604	373
906	3607	369
907	3611	365
908	3614	361
909	3618	357
910	3622	353
911	3626	349
912	3630	345
913	3635	342
914	3639	338
915	3643	334
916	3647	330
917	3651	326
918	3655	322
919	3659	318
920	3663	314
921	3667	310
922	3671	306
923	3676	302
924	3680	298
925	3684	294
926	3688	290
927	3692	286
928	3696	282
929	3700	278
930	3704	274
931	3708	270
932	3711	266
933	3715	262
934	3719	258
935	3723	254
936	3727	250
937	3732	246
938	3736	242
939	3740	238
940	3745	234
941	3749	230
942	3752	226
943	3757	222
944	3760	218
945	3765	214
946	3769	210
947	3773	206
948	3777	202
949	3781	199
950	3784	195
951	3789	191
952	3793	187
953	3797	183
954	3801	179
955	3805	175
956	3809	171
957	3813	167
958	3817	163
959	3820	159
960	3824	155
961	3829	151
962	3833	147
963	3837	143
964	3841	139
965	3845	135
966	3849	131
967	3853	127
968	3857	123
969	3861	119
970	3865	115
971	3869	111
972	3873	107
973	3877	103
974	3881	99
975	3885	95
976	3888	91
977	3892	87
978	3897	83
979	3900	79
980	3904	75
981	3908	71
982	3912	67
983	3917	63
984	3920	59
985	3924	55
986	3928	51
987	3932	47
988	3936	43
989	3940	39
990	3943	35
991	3947	31
992	3951	27
993	3955	23
994	3960	19
995	3963	15
996	3967	11
997	3971	7
998	3975	3
999	3979	0
